SaleDate,ProductID,QuantitySold,SaleAmount
2023-10-03,45,7,645.3513422768166
2023-02-11,48,18,3490.84967425902
2023-07-28,1,8,606.5315622310964
2023-09-26,4,3,247.55709258403087
2023-06-17,4,17,2533.7330152925733
2023-04-23,40,19,1758.854099633278
2023-12-17,10,14,2628.7863134954755
2023-05-11,20,5,275.80264833460853
2023-08-13,22,5,397.2158120553747
2023-10-29,37,13,1832.2539986598795
2023-08-06,24,18,3238.7160671570336
2023-01-26,7,2,57.21335304442332
2023-03-10,25,6,312.608453197937
2023-09-18,25,2,99.02280786114481
2023-08-24,13,8,803.6345529816007
2023-07-25,2,10,1788.4692211089246
2023-10-20,39,18,1346.9572376540793
2023-08-04,40,10,801.212966172359
2023-07-10,24,1,183.76176876938547
2023-07-18,47,5,135.97122438011465
2023-08-05,25,18,2305.2506509144114
2023-02-14,18,17,525.2817209182201
2023-02-03,38,4,311.91077315770843
2023-01-13,26,11,750.8484324898632
2023-04-16,14,2,275.24505967456713
2023-08-02,9,5,800.6463774856684
2023-05-20,10,5,516.3352715824496
2023-07-03,21,17,1067.043517450338
2023-05-07,17,17,3021.964921742021
2023-06-07,6,16,1177.8361500930373
2023-04-23,16,11,1638.847274352799
2023-09-17,48,14,1586.1362480614573
2023-01-29,1,9,398.6635868822481
2023-08-07,19,12,1343.5346852947562
2023-06-02,36,7,744.3124621986317
2023-11-07,25,10,730.126195132669
2023-11-05,30,16,156.8142660161418
2023-06-25,20,4,136.0868566856767
2023-05-30,20,13,399.24491674308473
2023-01-31,15,19,2717.834199212486
2023-03-10,40,18,2578.8431186136077
2023-02-06,33,11,1367.2003489586946
2023-10-24,2,3,408.06560452377425
2023-03-16,10,2,184.53118959679963
2023-10-26,33,12,1688.820575380452
2023-10-31,32,4,315.0943929792336
2023-08-08,11,13,318.5812449486434
2023-09-18,24,5,961.2503647655341
2023-10-16,36,2,38.24943451166095
2023-09-24,12,18,157.74512864325925
2023-01-29,29,1,196.01678411357548
2023-07-20,35,8,271.6258168509561
2023-03-04,1,5,277.23476401971374
2023-12-09,1,4,188.11247302034496
2023-12-21,37,6,708.4975061262517
2023-02-15,6,7,1366.9010502160043
2023-10-19,39,4,232.94694300924562
2023-03-31,41,3,582.4939182028355
2023-02-04,18,9,89.74784743760242
2023-05-15,16,2,356.33704511290705
2023-08-22,5,5,715.8936172919072
2023-09-14,42,1,59.16586635814455
2023-02-07,43,14,2512.9765146461823
2023-09-15,32,10,101.71897756800269
2023-10-19,2,6,761.9948422923962
2023-07-18,2,2,138.52165721671219
2023-09-13,40,8,1548.708963880069
2023-03-23,42,9,340.8515904504914
2023-05-18,36,8,1446.3134586489373
2023-07-10,39,4,277.3498076795466
2023-05-11,12,13,2319.2064705880857
2023-07-30,47,4,419.712293832088
2023-10-20,19,7,732.0084579678858
2023-12-15,28,8,643.4503595650388
2023-06-19,1,1,108.3673425120485
2023-10-21,15,6,1135.3077526488767
2023-06-27,36,12,2149.2976579034435
2023-01-27,13,10,1370.3730796747752
2023-11-21,43,8,1036.8827198068666
2023-12-27,21,6,671.5827651970437
2023-10-20,12,9,523.558871851526
2023-04-26,5,12,406.94862262544905
2023-10-15,7,15,2579.6862072381236
2023-01-31,5,1,128.83607580151914
2023-08-31,48,9,570.8743324044093
2023-10-18,4,7,663.1998992242435
2023-05-28,13,11,107.61126706750915
2023-10-02,37,3,341.4680840405464
2023-08-11,41,1,75.42454583534177
2023-12-08,15,15,1545.425406749407
2023-01-04,16,1,34.95736978755201
2023-03-12,21,7,615.8179250930546
2023-12-25,36,2,363.4070178320267
2023-02-15,24,13,86.57688079355069
2023-09-12,16,19,3684.6414895886446
2023-11-20,14,14,1956.1398704042272
2023-04-23,22,10,243.8619690047463
2023-04-03,49,5,307.5314790225644
2023-12-09,6,18,1982.1481491518732
2023-02-10,42,4,584.8353217550485
2023-06-01,36,3,242.48744678930473
2023-05-27,1,14,689.9392407152568
2023-07-19,32,16,1499.1628244014362
2023-10-03,6,5,972.780444838264
2023-12-16,31,10,1675.9455567404784
2023-02-14,1,5,916.9208937618872
2023-03-26,37,18,2432.1698025960723
2023-10-26,35,19,1727.6678746914815
2023-04-05,49,14,1940.301135568124
2023-06-25,30,14,1840.6733818480677
2023-07-22,4,3,32.023508307646864
2023-12-13,35,4,737.2345196891537
2023-11-27,43,10,1107.7911552933565
2023-01-30,14,13,2577.544085220093
2023-07-30,49,16,1275.2810216333269
2023-04-17,40,3,486.9015553084623
2023-03-06,22,7,664.274322061924
2023-01-18,10,15,2493.4608249003595
2023-04-18,1,17,1872.1769489811495
2023-06-15,11,16,2848.2662991234483
2023-04-06,44,9,1589.5875454771513
2023-01-26,24,1,69.01914511639613
2023-04-28,3,11,922.491502488735
2023-07-12,35,12,1334.4748163221673
2023-07-16,36,14,1767.2216160031235
2023-11-05,31,8,631.7954820309791
2023-05-18,4,7,775.0067041366158
2023-12-15,19,14,400.1098559098359
2023-04-05,47,16,2203.7753846442683
2023-08-28,36,10,609.8825602841266
2023-03-30,21,7,93.6627977378929
2023-06-11,18,12,331.6701089167529
2023-05-29,28,19,489.32095224060294
2023-03-15,15,8,533.7211531925954
2023-03-30,42,2,106.14856974285578
2023-01-15,2,10,1147.4270923812417
2023-11-12,37,3,545.2172230100152
2023-03-24,11,19,2244.2961133924036
2023-05-02,23,15,1823.9649365149712
2023-11-18,44,6,308.51092265706086
2023-07-24,41,5,591.3650922941022
2023-08-10,12,19,635.4489207971124
2023-10-10,3,15,1056.7206134108562
2023-10-17,17,19,2412.581132787343
2023-09-29,33,2,150.90921581998933
2023-10-13,1,13,2374.3697587561296
2023-10-05,39,1,176.30606165323425
2023-11-22,20,10,896.6033739364993
2023-01-24,47,17,1800.8841118400942
2023-08-17,43,3,292.68077299761603
2023-03-26,41,9,368.55635567379204
2023-05-17,14,11,987.5615819643716
2023-03-04,31,17,706.7346663744027
2023-05-23,25,2,288.9310552648199
2023-01-07,3,1,106.98624591802835
2023-09-15,4,6,405.0614337445485
2023-05-18,31,3,16.813231534366288
2023-07-28,35,16,1943.585171315258
2023-05-21,44,4,526.2811010705772
2023-01-06,14,15,90.17965972510164
2023-12-16,49,6,1165.1595105554932
2023-10-11,41,12,1613.446598853856
2023-03-17,9,7,435.14210942146127
2023-11-06,20,7,308.49729944972984
2023-08-09,32,7,1298.5834370843722
2023-11-05,9,3,195.91200444417598
2023-08-17,27,7,585.3926151071486
2023-12-29,3,6,770.6825479786362
2023-10-03,4,6,1072.0637869982413
2023-10-19,45,14,1251.015354875045
2023-02-22,15,10,1860.0264861450626
2023-06-09,33,5,602.2786461117896
2023-11-12,5,14,1248.7728524166923
2023-11-09,4,18,2170.658750074896
2023-10-03,46,4,296.51472192635447
2023-12-11,12,14,1863.66398354962
2023-11-24,23,9,1189.8022120613768
2023-02-24,14,14,2313.291678574322
2023-11-02,46,6,501.23710881762497
2023-04-06,12,17,209.52814905052261
2023-03-02,17,15,2955.0474971852227
2023-12-04,25,6,554.3271133605076
2023-06-05,30,2,375.67773788166977
2023-05-06,22,6,816.2880368625597
2023-06-14,47,7,399.04123792460575
2023-03-01,26,13,1494.903153446517
2023-04-18,17,11,2107.6212315632806
2023-07-22,20,15,406.94630196226234
2023-10-29,34,9,522.7625286489672
2023-09-28,41,8,168.01008276931563
2023-11-24,33,14,2159.1886937692484
2023-02-09,37,6,55.3758069353177
2023-06-18,7,16,508.22421363531214
2023-05-18,22,11,614.0484904846696
2023-01-15,32,4,699.4444065019874
2023-07-29,14,11,439.8345998786335
2023-01-24,8,19,1700.2977053051618
2023-12-03,25,4,273.59196918802877
2023-09-23,16,15,1781.4572492603736
2023-08-17,42,19,3564.61431102231
